23:32:14  [main] 	Initializing Control Panel
23:32:14  [main] 	Windows Version:  Home  64-bit
23:32:14  [main] 	XAMPP Version: 5.6.36
23:32:14  [main] 	Control Panel Version: 3.2.2  [ Compiled: Nov 12th 2015 ]
23:32:14  [main] 	You are not running with administrator rights! This will work for
23:32:14  [main] 	most application stuff but whenever you do something with services
23:32:14  [main] 	there will be a security dialogue or things will break! So think 
23:32:14  [main] 	about running this application with administrator rights!
23:32:14  [main] 	XAMPP Installation Directory: "c:\xampp\"
23:32:14  [main] 	Checking for prerequisites
23:32:16  [main] 	All prerequisites found
23:32:16  [main] 	Initializing Modules
23:32:16  [main] 	Starting Check-Timer
23:32:16  [main] 	Control Panel Ready
23:32:20  [Apache] 	Attempting to start Apache app...
23:32:20  [Apache] 	Status change detected: running
23:41:45  [mysql] 	Attempting to start MySQL app...
23:41:46  [mysql] 	Status change detected: running
00:51:34  [main] 	Deinitializing Modules
00:51:34  [main] 	Deinitializing Control Panel

